umap_dim1,umap_dim2,class_label,anomaly_label
11.067688,33.51546,0,0
11.102385,33.526478,0,0
-5.0218987,55.291595,0,0
-4.691374,54.048874,0,0
11.325604,33.912655,0,0
11.353895,33.95385,0,0
-4.475743,53.974884,0,0
-2.787171,52.63009,0,0
-2.7303398,52.702637,0,0
-4.924249,54.57233,0,0
11.165264,33.63642,0,0
-2.7269452,52.446453,0,0
-3.8250663,53.10097,0,0
-4.2951593,53.477676,0,0
-5.0357833,55.48685,0,0
-3.7558594,52.125443,0,0
-3.7574055,52.953304,0,0
-5.0790467,54.916454,0,0
-4.806609,53.52299,0,0
-3.8402286,52.725018,0,0
-5.117701,53.500313,0,0
-3.5022473,51.98124,0,0
-2.5304236,52.629944,0,0
-4.639034,53.805798,0,0
-4.999825,55.341377,0,0
-5.2016835,53.68753,0,0
-4.6793966,55.86923,0,0
-5.1364384,54.55104,0,0
-3.987408,55.366486,0,0
-4.3530197,53.519306,0,0
-2.8254344,52.748535,0,0
-4.291607,53.10303,0,0
-3.4242892,52.432976,0,0
-3.632526,52.003933,0,0
-3.3516195,52.605232,0,0
-5.1950307,55.11901,0,0
-4.719988,53.799015,0,0
-4.6945167,54.112556,0,0
-2.510508,52.631664,0,0
-3.991379,53.52693,0,0
-3.4110832,52.510822,0,0
-3.3963263,52.457214,0,0
10.892425,33.150993,0,0
-3.4904282,52.57058,0,0
-3.7472823,52.779633,0,0
-3.26052,52.603172,0,0
-4.914929,55.694508,0,0
-3.4390004,52.52093,0,0
-4.820013,55.710728,0,0
11.197774,33.716415,0,0
-4.964519,54.04109,0,0
-3.7593994,52.814003,0,0
-5.158743,55.158096,0,0
-4.318101,54.994335,0,0
-4.85313,55.774582,0,0
-5.1011724,55.29674,0,0
-3.1922634,52.417202,0,0
-5.1600423,53.959854,0,0
-4.243444,54.747395,0,0
-5.1459107,55.20348,0,0
-3.7921357,53.1863,0,0
-3.7395325,52.467155,0,0
-4.326237,53.47273,0,0
-4.3000903,52.62667,0,0
-3.5342526,52.842102,0,0
-5.1206446,55.201504,0,0
-3.6270847,52.342434,0,0
-3.8372025,52.789158,0,0
11.174574,33.736732,0,0
-3.242348,52.722073,0,0
-3.396897,52.249374,0,0
11.253924,33.80203,0,0
10.92365,33.204506,0,0
-3.2941923,51.89379,0,0
-3.961913,55.679443,0,0
-4.211152,52.84788,0,0
-4.243552,52.912647,0,0
-4.480287,53.008347,0,0
-4.251832,53.383312,0,0
11.020449,33.32834,0,0
-4.4277415,55.05414,0,0
-4.7936277,54.071938,0,0
11.834943,-0.2282514,0,0
-4.355147,53.60305,0,0
-4.524102,53.727985,0,0
11.326887,33.88797,0,0
-4.492159,55.258957,0,0
11.168728,33.678703,0,0
-4.658698,53.870033,0,0
-4.874513,55.68066,0,0
-4.83124,53.12917,0,0
-5.0366564,55.081306,0,0
-4.8265233,53.8906,0,0
-5.0742183,54.720215,0,0
-5.0379534,54.614372,0,0
-4.29583,54.74893,0,0
11.380883,33.99778,0,0
-3.6756098,52.755272,0,0
-5.323522,54.213898,0,0
-3.634228,52.018223,0,0
-3.9267383,53.069614,0,0
-3.9143991,55.62936,0,0
-5.157287,55.179543,0,0
-5.077073,54.98705,0,0
-4.2777,53.17203,0,0
-3.8406332,52.16583,0,0
-4.2780805,55.289394,0,0
-3.937831,55.670918,0,0
-4.579124,53.228348,0,0
-4.7327814,53.534977,0,0
-4.6897273,55.85991,0,0
-5.0059247,55.036934,0,0
-5.0088167,55.228764,0,0
-4.9284544,54.703022,0,0
-4.69281,54.210827,0,0
-4.8707495,54.322063,0,0
-5.04802,54.13039,0,0
-4.459628,52.83685,0,0
-4.1721854,53.453865,0,0
-3.1212223,52.696243,0,0
10.914645,33.19003,0,0
10.897902,33.160156,0,0
-3.8341608,53.083378,0,0
-4.1103196,52.72169,0,0
10.8564205,33.121162,0,0
10.937365,33.270824,0,0
-5.290587,53.86563,0,0
-3.408331,52.521137,0,0
-4.0632772,52.83855,0,0
-3.1954715,52.37037,0,0
10.810888,33.062828,0,0
-3.2096758,52.45577,0,0
-5.237266,54.86495,0,0
-3.2864404,52.519962,0,0
-3.664739,51.99476,0,0
-3.2231185,52.617004,0,0
-4.941672,55.56774,0,0
-4.2704134,53.40385,0,0
-3.894149,52.836716,0,0
-5.177973,54.28803,0,0
-3.4990246,52.048103,0,0
-4.9647813,53.62223,0,0
-3.8121338,55.692272,0,0
11.19498,33.726486,0,0
-3.781142,52.05678,0,0
-4.676453,55.881084,0,0
-5.0571904,55.36598,0,0
-4.9874134,55.389942,0,0
-5.0243697,54.1222,0,0
-5.0641403,54.140083,0,0
-4.611907,53.9386,0,0
-4.2937617,54.872158,0,0
-5.119481,55.02208,0,0
-3.508418,52.609917,0,0
-4.240307,53.00073,0,0
-5.366382,54.176388,0,0
-4.0222774,52.48056,0,0
-5.0085964,55.215313,0,0
-4.944342,55.411,0,0
-3.993522,55.332684,0,0
-5.0959663,55.07479,0,0
-5.180622,54.90126,0,0
