umap_dim1,umap_dim2,class_label,anomaly_label
18.666498,14.262708,0,0
15.9224615,13.563459,0,0
18.052015,13.040623,0,0
17.645704,13.119904,0,0
18.218628,14.339179,0,0
19.016666,14.062354,0,0
17.926502,12.965544,0,0
18.499119,13.012355,0,0
18.171906,13.10443,0,0
17.449457,13.003069,0,0
16.229172,13.531349,0,0
16.728664,10.554888,0,0
17.990557,13.611377,0,0
17.905323,12.985711,0,0
17.96413,13.140991,0,0
15.654364,11.362737,0,0
17.93011,13.103724,0,0
17.708479,12.807315,0,0
17.729177,12.815244,0,0
17.247194,12.767991,0,0
16.100964,12.979908,0,0
15.141559,11.628105,0,0
17.842865,12.980147,0,0
17.47699,13.064032,0,0
18.017479,12.780572,0,0
16.118107,12.982733,0,0
17.987316,13.0127735,0,0
18.599125,13.734268,0,0
18.342556,13.420757,0,0
18.533533,13.906472,0,0
17.890944,12.534031,0,0
13.585556,13.95463,0,0
17.638458,14.065955,0,0
15.532987,11.36452,0,0
18.086847,14.0958,0,0
16.053537,12.964166,0,0
17.932514,12.617688,0,0
18.842417,13.902254,0,0
17.812681,12.717488,0,0
18.33006,13.591627,0,0
18.389723,13.126344,0,0
17.827488,13.528659,0,0
18.037477,14.131678,0,0
18.565357,14.43756,0,0
19.091354,13.730477,0,0
18.829807,13.910141,0,0
18.028654,13.866948,0,0
18.272034,14.497789,0,0
18.528822,13.995077,0,0
18.517918,13.738705,0,0
17.957329,13.886948,0,0
17.658916,14.018843,0,0
17.493048,13.329651,0,0
16.181786,13.436769,0,0
17.082302,13.023467,0,0
18.239588,14.015093,0,0
18.283758,14.310124,0,0
17.92987,14.29397,0,0
16.045235,13.355031,0,0
16.911137,12.4754505,0,0
18.749063,13.840368,0,0
17.92754,13.490392,0,0
18.09518,14.402587,0,0
18.251194,13.569509,0,0
18.424845,14.49341,0,0
18.359428,14.12761,0,0
18.12833,14.497365,0,0
17.664923,14.075543,0,0
18.446411,14.284573,0,0
18.091047,14.392132,0,0
18.47431,14.487754,0,0
18.58534,14.313706,0,0
18.767416,13.900719,0,0
16.165728,13.06558,0,0
18.381943,13.828082,0,0
18.199982,13.641905,0,0
18.549955,13.260762,0,0
18.60898,13.289985,0,0
18.607153,13.801967,0,0
19.13174,13.845673,0,0
18.561157,13.253125,0,0
18.685217,13.309275,0,0
18.689827,13.752217,0,0
18.129921,12.876097,0,0
18.553915,13.044982,0,0
18.376955,14.31035,0,0
18.44009,13.137005,0,0
16.269865,13.6047,0,0
18.285727,13.316071,0,0
18.828037,13.523986,0,0
16.099546,12.952097,0,0
18.66112,14.143817,0,0
18.007095,13.337259,0,0
18.475414,12.842094,0,0
18.453884,12.7249775,0,0
18.743843,13.331356,0,0
18.112457,14.202865,0,0
18.035824,12.636183,0,0
15.962947,12.888649,0,0
15.161275,11.701066,0,0
17.614296,13.2626505,0,0
18.392523,14.038155,0,0
18.545462,12.759209,0,0
18.489807,12.849297,0,0
18.280867,14.013621,0,0
