Time,Acc
81.37,0.00408
81.38,-0.004918
81.39,-0.004916
81.4,-0.010915
81.41,-0.015913
81.42,-0.010911
81.43,-0.01791
81.44,-0.012908
81.45,0.005094
81.46,0.007095
81.47,0.007097
81.48,0.005099
81.49,0.004101
81.5,0.013102
81.51,0.011104
81.52,0.004106
81.53,0.004107
81.54,-0.002891
81.55,-0.007889
81.56,-0.006888
81.57,-0.004886
81.58,-0.003884
81.59,-0.004883
81.6,-0.007881
81.61,-0.010879
81.62,-0.008878
81.63,-0.006876
81.64,-0.008874
81.65,-0.010872
81.66,-0.007871
81.67,0.001131
81.68,0.013133
81.69,0.015134
81.7,0.014136
81.71,0.009138
81.72,0.010139
81.73,0.010141
81.74,0.005143
81.75,-0.003856
81.76,-0.004854
81.77,-0.011852
81.78,-0.003851
81.79,-0.004849
81.8,-0.002847
81.81,-0.006846
81.82,-0.011844
81.83,-0.010842
81.84,0.00716
81.85,0.015161
81.86,0.010163
81.87,0.013165
81.88,0.011166
81.89,0.006168
81.9,0.00717
81.91,0.006171
81.92,-0.003827
81.93,-0.020825
81.94,-0.022824
81.95,-0.012822
81.96,-0.01082
81.97,-0.015819
81.98,-0.020817
81.99,-0.011815
82,-0.004813
82.01,0.001188
82.02,0.00419
82.03,0.005192
82.04,0.006193
82.05,0.005195
82.06,0.007197
82.07,0.011198
82.08,0.0062
82.09,0.007202
82.1,0.000203
82.11,-0.003795
82.12,-0.002793
82.13,-0.013792
82.14,-0.01779
82.15,-0.016788
82.16,-0.020786
82.17,-0.008785
82.18,-0.003783
82.19,-0.003781
82.2,-0.00478
82.21,-0.007778
82.22,0.002224
82.23,0.010225
82.24,0.009227
82.25,0.011229
82.26,0.01023
82.27,0.013232
82.28,0.011234
82.29,0.005235
82.3,0.002237
82.31,-0.003761
82.32,-0.007759
82.33,-0.011758
82.34,-0.002756
82.35,-0.003754
82.36,-0.002753
82.37,0.001249
82.38,0.004251
82.39,0.004252
82.4,0.001254
82.41,0.002256
82.42,0.009257
82.43,0.014259
82.44,0.011261
82.45,0.006262
82.46,0.002264
82.47,0.002266
82.48,0.000267
82.49,-0.003731
82.5,0.001271
82.51,-0.004727
82.52,-0.017726
82.53,-0.020724
82.54,-0.015722
82.55,-0.006721
82.56,-0.008719
82.57,-0.010717
82.58,-0.004716
82.59,0.002286
82.6,0.010288
82.61,0.010289
82.62,0.007291
