Time,Acc
3.38,0.002927
3.39,0.002929
3.4,0.00293
3.41,0.004932
3.42,0.005934
3.43,0.005935
3.44,0.001937
3.45,-0.004061
3.46,-0.002059
3.47,-0.002058
3.48,-0.004056
3.49,0.000946
3.5,-0.004053
3.51,-0.012051
3.52,-0.008049
3.53,-0.007048
3.54,-0.004046
3.55,-0.006044
3.56,-0.003043
3.57,-0.004041
3.58,-0.003039
3.59,-0.002038
3.6,0.001964
3.61,0.000966
3.62,-0.000032
3.63,-0.002031
3.64,0.000971
3.65,0.004973
3.66,0.001974
3.67,0.000976
3.68,-0.000022
3.69,-0.002021
3.7,-0.002019
3.71,-0.000017
3.72,-0.000016
3.73,-0.002014
3.74,-0.006012
3.75,0.001989
3.76,-0.002009
3.77,0.001993
3.78,-0.003005
3.79,-0.000004
3.8,-0.000002
3.81,-0.004
3.82,0.000001
3.83,0.000003
3.84,-0.005995
3.85,-0.005994
3.86,-0.005992
3.87,-0.00599
3.88,-0.002989
3.89,0.000013
3.9,-0.003985
3.91,-0.001984
3.92,-0.001982
3.93,0.00202
3.94,0.006021
3.95,0.009023
3.96,0.005025
3.97,0.001027
3.98,0.002028
3.99,0.00203
4,0.002032
4.01,0.001033
4.02,0.003035
4.03,-0.005963
4.04,-0.001962
4.05,-0.00296
4.06,0.001042
4.07,-0.001957
4.08,-0.005955
4.09,-0.002953
4.1,-0.003952
4.11,-0.00195
4.12,0.001052
4.13,0.000054
4.14,0.001055
4.15,-0.002943
4.16,-0.007941
4.17,-0.00194
4.18,0.000062
4.19,-0.006936
4.2,-0.003935
4.21,-0.003933
4.22,-0.002931
4.23,-0.00793
4.24,-0.006928
4.25,0.000074
4.26,0.003075
4.27,0.002077
4.28,0.003079
4.29,0.003081
4.3,0.001082
4.31,0.005084
4.32,0.007086
4.33,0.005087
4.34,0.000089
4.35,-0.003909
4.36,-0.002908
4.37,0.001094
4.38,-0.007904
4.39,-0.003903
4.4,-0.003901
4.41,-0.002899
4.42,0.001102
4.43,0.000104
4.44,-0.002894
4.45,-0.002892
4.46,-0.003891
4.47,0.000111
4.48,0.000113
4.49,0.000114
4.5,0.001116
4.51,-0.001882
4.52,0.002119
4.53,0.001121
4.54,0.003123
4.55,-0.001876
4.56,-0.007874
4.57,-0.003872
4.58,0.002129
4.59,0.001131
4.6,0.001133
4.61,-0.003866
4.62,-0.002864
4.63,0.001138
4.64,0.00314
4.65,0.002141
4.66,0.000143
4.67,-0.003855
4.68,-0.002854
4.69,-0.001852
4.7,-0.00185
4.71,-0.001849
4.72,-0.003847
4.73,-0.006845
4.74,-0.002844
4.75,0.001158
4.76,0.00116
4.77,0.000161
4.78,-0.003837
4.79,-0.002835
