umap_dim1,umap_dim2,class_label,anomaly_label
19.560688,34.604748,0,0
18.72024,35.444252,0,0
19.153107,32.941444,0,0
19.407907,33.1964,0,0
19.092558,34.748444,0,0
19.659857,34.463745,0,0
19.48066,32.961166,0,0
19.145754,32.37649,0,0
19.356762,31.709755,0,0
19.34861,32.735985,0,0
18.786432,35.223606,0,0
19.243654,31.799278,0,0
19.292665,32.504047,0,0
19.520737,32.68349,0,0
19.05545,33.303547,0,0
18.676577,36.803356,0,0
19.259188,32.30746,0,0
19.00951,32.848763,0,0
18.940485,33.98402,0,0
19.148375,33.65571,0,0
18.455952,35.952923,0,0
18.714687,36.71559,0,0
19.171885,32.686066,0,0
19.008383,33.29883,0,0
18.92761,33.76873,0,0
18.46463,35.896496,0,0
19.026705,33.554646,0,0
18.539284,34.182594,0,0
19.476624,34.149303,0,0
19.372715,32.781456,0,0
19.18108,32.46675,0,0
19.312717,33.088932,0,0
18.406576,33.78709,0,0
18.795294,36.77581,0,0
18.790623,33.240765,0,0
18.371145,35.938435,0,0
18.589159,33.427795,0,0
19.143532,32.72415,0,0
19.453691,31.787022,0,0
19.275967,34.07504,0,0
18.8266,32.974262,0,0
19.271324,33.051735,0,0
19.649408,34.3815,0,0
19.510632,31.807371,0,0
18.394728,33.823353,0,0
19.388727,31.978607,0,0
18.335836,34.60232,0,0
18.397282,33.843616,0,0
18.40697,34.506626,0,0
19.361397,34.45877,0,0
18.407335,34.176353,0,0
18.333227,33.74678,0,0
18.327276,34.464386,0,0
18.566322,35.546078,0,0
18.516718,34.2407,0,0
18.37273,34.41922,0,0
18.589695,33.214493,0,0
18.44404,35.041462,0,0
18.63725,35.808727,0,0
18.580872,34.371525,0,0
19.41752,31.709366,0,0
18.496634,33.839897,0,0
19.43022,31.633368,0,0
18.69323,33.192463,0,0
18.911055,33.101772,0,0
18.380457,34.538567,0,0
18.415865,34.085976,0,0
18.47816,33.64532,0,0
19.526117,34.61031,0,0
18.93834,32.916214,0,0
18.447773,34.2731,0,0
19.531775,34.399933,0,0
19.07423,34.87468,0,0
18.44472,35.92746,0,0
19.153133,34.64724,0,0
18.349894,34.26673,0,0
18.821245,33.487686,0,0
18.672314,33.501587,0,0
19.07065,32.809975,0,0
19.473932,34.73717,0,0
19.55922,33.705463,0,0
19.50608,32.98549,0,0
19.56334,34.599415,0,0
19.061647,33.45104,0,0
19.532043,32.91392,0,0
19.681372,34.619698,0,0
19.64813,33.379204,0,0
18.652859,35.204266,0,0
19.107166,33.833534,0,0
19.26012,33.370358,0,0
18.444792,35.991726,0,0
19.421001,33.192932,0,0
19.352581,33.75158,0,0
19.555607,33.361946,0,0
19.122208,32.816956,0,0
19.679394,33.164364,0,0
19.235542,34.420177,0,0
18.764942,33.43128,0,0
18.352655,35.935444,0,0
18.70333,36.72514,0,0
19.44852,32.51013,0,0
19.622082,34.668064,0,0
19.50984,33.21932,0,0
19.614744,32.78607,0,0
19.449492,33.892,0,0
18.680841,36.71303,0,0
19.588137,33.7421,0,0
19.692259,34.654327,0,0
19.214535,32.60714,0,0
19.253572,32.920914,0,0
19.41298,33.972748,0,0
19.600296,33.327034,0,0
18.831884,34.401714,0,0
19.64838,33.353504,0,0
19.296219,32.609142,0,0
19.156738,33.265713,0,0
18.84045,33.803482,0,0
18.664616,34.214314,0,0
19.071924,33.0535,0,0
19.283762,33.029465,0,0
19.596493,34.451073,0,0
19.550177,34.624794,0,0
19.204102,32.759777,0,0
19.111982,33.376553,0,0
19.316668,34.477512,0,0
19.643248,34.52696,0,0
18.473679,35.923435,0,0
18.413868,33.734306,0,0
18.451654,33.70786,0,0
19.362663,32.884563,0,0
19.243757,34.462563,0,0
18.893513,32.80014,0,0
18.279125,34.448956,0,0
18.318567,34.241188,0,0
18.789948,36.78169,0,0
18.877172,32.79699,0,0
18.47477,34.387207,0,0
19.220047,32.971657,0,0
19.467766,31.654623,0,0
18.617062,34.06607,0,0
18.633873,36.702244,0,0
19.219402,33.005035,0,0
19.667309,34.598953,0,0
19.156437,34.432945,0,0
18.77302,36.728413,0,0
19.402622,33.58884,0,0
19.333225,32.97105,0,0
19.617365,32.842888,0,0
19.401846,33.582535,0,0
19.200964,33.870808,0,0
19.304863,33.247353,0,0
19.2549,34.07003,0,0
19.168718,33.54172,0,0
19.329418,33.14724,0,0
18.927456,33.473263,0,0
19.088331,33.427536,0,0
19.019777,33.86565,0,0
19.752686,32.776596,0,0
19.341774,33.77766,0,0
19.641573,34.07469,0,0
19.287361,33.812504,0,0
19.069025,33.58579,0,0
19.693197,33.63962,0,0
18.214197,35.95946,0,0
18.71267,36.736473,0,0
19.158287,34.161602,0,0
19.508425,33.695866,0,0
19.467571,33.79335,0,0
19.65062,33.023376,0,0
19.500343,33.508274,0,0
18.947277,34.413322,0,0
18.818811,36.821815,0,0
19.032185,33.898483,0,0
19.007132,34.60885,0,0
19.325863,33.310966,0,0
19.210007,33.538246,0,0
19.454655,33.825665,0,0
19.51623,31.700787,0,0
18.706661,35.26404,0,0
19.36009,33.152596,0,0
18.616308,34.069077,0,0
19.362818,33.096592,0,0
18.943428,34.780815,0,0
19.456394,34.614853,0,0
18.465012,34.412796,0,0
18.57149,34.216084,0,0
19.525463,31.68169,0,0
18.551264,34.54367,0,0
19.172842,33.345955,0,0
18.747618,36.73188,0,0
19.558363,33.377247,0,0
19.390059,33.12026,0,0
18.818434,34.504288,0,0
18.472078,34.369186,0,0
18.771866,33.90513,0,0
18.670284,34.096897,0,0
18.785896,36.809376,0,0
18.90382,33.865208,0,0
19.413166,34.72653,0,0
18.438194,34.14323,0,0
18.53104,34.02635,0,0
18.41802,33.577366,0,0
18.424232,34.5832,0,0
18.718971,36.694668,0,0
19.337425,34.544807,0,0
18.632944,34.05185,0,0
18.50586,33.97686,0,0
18.381895,33.882065,0,0
18.96318,34.839462,0,0
18.976782,34.928844,0,0
18.538843,33.910477,0,0
18.289852,33.81962,0,0
18.783302,36.81676,0,0
18.844578,32.96691,0,0
18.94718,32.86489,0,0
18.761824,36.778416,0,0
19.05631,33.159786,0,0
18.398659,33.879906,0,0
19.211899,34.598713,0,0
19.620216,34.568497,0,0
18.403341,34.140907,0,0
19.121248,34.64919,0,0
18.395035,34.491264,0,0
18.346209,33.69634,0,0
19.289007,34.66914,0,0
18.561861,34.40022,0,0
19.30996,34.45555,0,0
18.762358,33.748665,0,0
18.788212,33.84765,0,0
18.53861,34.499256,0,0
18.970144,34.574,0,0
18.68893,35.38308,0,0
19.021711,33.32393,0,0
19.25494,31.596422,0,0
18.73909,36.75111,0,0
19.275543,33.959824,0,0
19.279615,33.36495,0,0
18.89918,33.717533,0,0
19.14896,34.804066,0,0
18.800808,35.255074,0,0
19.133532,34.01904,0,0
19.088799,33.70452,0,0
18.913557,33.788322,0,0
19.00672,34.953506,0,0
18.582098,34.102264,0,0
18.37539,35.97111,0,0
18.788599,33.094433,0,0
18.607359,34.162067,0,0
18.96102,33.803944,0,0
18.672665,36.678234,0,0
19.047417,33.927784,0,0
18.791414,35.227127,0,0
18.315573,35.939754,0,0
18.745691,36.783943,0,0
18.924253,33.49332,0,0
19.380295,31.79774,0,0
19.195484,33.618317,0,0
18.738382,35.299835,0,0
18.790485,36.84237,0,0
18.99382,33.762794,0,0
18.695679,36.724777,0,0
19.3811,33.540245,0,0
19.420033,33.74556,0,0
19.59015,33.41218,0,0
19.011612,33.677635,0,0
18.851522,35.103603,0,0
19.139929,32.76286,0,0
18.421347,34.27819,0,0
19.206385,34.524307,0,0
18.35363,35.848026,0,0
18.414589,34.1942,0,0
18.291143,35.855457,0,0
19.145063,34.836376,0,0
19.197935,33.272606,0,0
19.556929,34.385223,0,0
18.757156,33.71747,0,0
18.733532,33.135273,0,0
19.674713,34.658787,0,0
18.466137,35.45275,0,0
19.101147,34.86847,0,0
18.478554,35.91683,0,0
18.521065,33.37147,0,0
18.284279,33.73963,0,0
18.346785,34.469948,0,0
18.461807,35.41926,0,0
18.875105,34.871143,0,0
18.45124,35.41238,0,0
19.473795,33.14376,0,0
18.438772,33.466076,0,0
19.04358,33.858322,0,0
19.405529,34.224678,0,0
19.641907,34.538628,0,0
19.079235,33.401905,0,0
18.84423,35.13561,0,0
18.628897,34.52116,0,0
19.472319,33.936897,0,0
18.321886,34.983047,0,0
17.898087,36.037823,0,0
18.346478,35.04531,0,0
17.887114,36.09061,0,0
18.344076,34.979183,0,0
17.300432,36.1551,0,0
17.885431,36.052517,0,0
18.443222,34.124157,0,0
18.61643,36.603737,0,0
18.496326,33.622604,0,0
18.555485,36.47017,0,0
18.463902,33.332737,0,0
18.596615,36.468693,0,0
18.302084,35.00896,0,0
18.286236,35.001545,0,0
18.284729,35.14338,0,0
17.843538,36.050095,0,0
18.29259,35.09162,0,0
18.00333,36.170197,0,0
18.105528,36.167553,0,0
18.379826,35.40557,0,0
18.381317,36.31964,0,0
18.304092,35.098305,0,0
17.317509,36.15338,0,0
18.263355,34.84058,0,0
18.372936,36.258877,0,0
18.37776,34.868755,0,0
18.396963,36.228493,0,0
18.575815,35.02689,0,0
18.435291,35.16528,0,0
18.468437,36.330685,0,0
18.499657,34.827015,0,0
18.488346,36.376553,0,0
17.892225,36.08491,0,0
18.582428,34.173023,0,0
17.32567,36.11666,0,0
18.512646,36.43444,0,0
18.566725,33.669228,0,0
17.389595,36.10109,0,0
18.325958,35.174026,0,0
18.643963,36.662853,0,0
17.927181,36.073086,0,0
17.378891,36.101997,0,0
18.682905,36.694035,0,0
18.470211,36.30666,0,0
17.336985,36.119335,0,0
18.467806,36.406273,0,0
18.529076,34.07023,0,0
17.391115,36.13557,0,0
17.278429,36.180576,0,0
17.33594,36.135017,0,0
18.633055,36.6001,0,0
17.287857,36.18001,0,0
18.394926,36.26331,0,0
18.591764,36.589,0,0
18.590094,36.620216,0,0
18.64667,36.588966,0,0
18.320122,36.166386,0,0
18.666372,36.53428,0,0
17.309637,36.082443,0,0
18.66707,36.638584,0,0
17.393515,36.149033,0,0
18.53638,36.388832,0,0
18.342127,34.135498,0,0
17.333332,36.122986,0,0
18.55408,36.381153,0,0
18.776594,36.762077,0,0
17.30462,36.091232,0,0
18.286747,34.57041,0,0
18.314665,34.33028,0,0
17.250998,36.156933,0,0
17.96954,36.177986,0,0
18.286482,34.58864,0,0
18.264189,36.177917,0,0
18.431684,36.358242,0,0
17.254728,36.082607,0,0
18.34212,36.274937,0,0
18.51681,36.4489,0,0
18.497612,34.094414,0,0
17.4429,36.228954,0,0
19.058594,32.47725,0,0
18.804813,32.889076,0,0
18.72606,32.89421,0,0
18.96907,32.500954,0,0
19.776688,32.70166,0,0
17.455914,36.19739,0,0
19.484056,34.481667,0,0
19.05502,32.4353,0,0
18.226389,36.167545,0,0
19.513304,32.345867,0,0
19.224741,31.942863,0,0
19.539526,32.6287,0,0
19.01258,31.137623,0,0
19.102865,31.285149,0,0
19.256779,32.72688,0,0
19.541264,32.021805,0,0
19.205572,34.303284,0,0
19.3347,33.079174,0,0
19.134638,34.91751,0,0
19.368883,31.971748,0,0
18.860342,32.737186,0,0
18.79636,32.974873,0,0
18.575823,33.02967,0,0
19.712221,33.09104,0,0
19.590069,34.28889,0,0
17.46588,36.12331,0,0
19.466967,32.94081,0,0
18.86534,33.74472,0,0
19.651917,32.6763,0,0
19.44522,34.341312,0,0
19.334599,32.42782,0,0
19.615583,32.63972,0,0
19.410114,32.536377,0,0
18.208958,34.767193,0,0
18.74389,36.77876,0,0
18.56783,33.196995,0,0
19.424402,31.614304,0,0
17.484573,36.091,0,0
19.237879,34.75145,0,0
17.515501,36.079388,0,0
19.17079,34.90167,0,0
17.52773,36.122616,0,0
18.597412,36.68035,0,0
18.758196,33.027836,0,0
19.571518,34.339733,0,0
19.322865,34.81659,0,0
18.40414,33.55353,0,0
18.616192,36.70857,0,0
18.681261,32.923637,0,0
19.547092,34.590256,0,0
18.675545,33.007767,0,0
18.479841,36.486263,0,0
18.602383,36.62185,0,0
17.393879,36.18563,0,0
19.447989,34.71358,0,0
19.387026,34.779854,0,0
19.169376,34.769444,0,0
18.65778,33.067966,0,0
18.677395,33.127243,0,0
18.770666,33.0374,0,0
19.063517,33.437164,0,0
18.520834,36.481243,0,0
18.693537,36.699802,0,0
18.875278,33.161934,0,0
17.41495,36.18849,0,0
18.34052,36.44452,0,0
19.550362,33.206963,0,0
18.332075,34.543373,0,0
18.860231,33.2552,0,0
19.471445,34.335434,0,0
19.386017,33.39159,0,0
19.610281,33.32723,0,0
19.566961,33.27926,0,0
19.602625,33.22311,0,0
19.424944,33.85688,0,0
19.53033,33.818993,0,0
19.785883,32.84193,0,0
19.690704,32.847313,0,0
19.598366,32.880066,0,0
19.731045,32.756065,0,0
18.283133,36.244877,0,0
19.15817,32.40827,0,0
18.972698,32.128857,0,0
19.528774,32.480175,0,0
19.147802,32.37619,0,0
19.109045,32.348793,0,0
19.18951,31.837894,0,0
19.679289,32.90616,0,0
19.760202,33.740448,0,0
19.71343,32.882927,0,0
19.662106,32.680126,0,0
19.105408,34.12744,0,0
19.59165,33.664616,0,0
18.777342,33.416485,0,0
19.535978,33.7475,0,0
17.405537,36.157375,0,0
19.307943,33.517796,0,0
17.431005,36.09709,0,0
19.737955,32.742516,0,0
19.77621,33.225582,0,0
19.40968,34.602654,0,0
17.449677,36.126484,0,0
18.44418,36.4831,0,0
19.02844,32.90884,0,0
18.53782,36.48559,0,0
18.894083,32.749817,0,0
18.924881,32.807,0,0
18.29996,33.575657,0,0
19.683401,34.289135,0,0
17.542263,36.093258,0,0
18.483322,33.142536,0,0
18.226246,33.74618,0,0
18.651934,36.7489,0,0
18.658325,32.850258,0,0
18.577187,33.244137,0,0
19.639973,34.250683,0,0
18.635471,32.888405,0,0
18.678822,36.75569,0,0
18.900183,32.544537,0,0
19.394135,32.57803,0,0
19.357014,32.66351,0,0
19.552074,32.326637,0,0
18.316164,36.294292,0,0
19.310827,33.110825,0,0
-5.1404214,9.582685,2,1
-4.0573993,10.746237,2,1
-4.508642,3.7328157,2,1
-4.284149,10.811204,2,1
-4.615933,10.646907,2,1
-4.503733,10.6845255,2,1
-4.529254,10.65671,2,1
-5.913033,9.4314995,2,1
-5.624494,6.7619667,2,1
-5.256442,5.5893025,2,1
-4.7122893,4.3766074,2,1
-4.9440656,10.05591,2,1
-4.180382,10.68404,2,1
-4.5154057,3.551242,2,1
-4.8184953,9.745779,2,1
-4.829304,9.626903,2,1
-4.6198454,10.229138,2,1
-4.8362093,10.021446,2,1
-5.835931,7.4685693,2,1
-5.4207783,6.11242,2,1
-4.7887597,4.557179,2,1
-4.420724,3.4108133,2,1
-5.555503,8.8922825,2,1
-5.4636717,9.234161,2,1
-4.5036497,3.6590447,2,1
-5.594878,9.379839,2,1
-5.587586,9.155937,2,1
-5.2389975,10.080883,2,1
-5.681099,9.316478,2,1
-5.8164854,7.3102994,2,1
-5.569189,6.576516,2,1
-5.091844,5.259242,2,1
-4.565599,3.9316585,2,1
-4.4196243,10.327272,2,1
-4.0987587,10.785178,2,1
-4.492797,3.6539843,2,1
-4.142214,10.748626,2,1
-3.9948072,10.78347,2,1
-4.0644574,10.791345,2,1
-4.3583255,10.667074,2,1
-5.859642,9.619819,2,1
